run	time	zone	id.fire	target.area	burnt.area
1	25	ZD	46	28	28
1	25	ZD	47	36	36
1	25	ZD	48	0	4
1	25	ZD	49	16	4
1	25	ZD	50	12	12
1	30	ZB	1	4	4
1	30	ZB	2	172	172
1	30	ZB	3	860	860
1	30	ZB	4	60	60
1	30	ZB	5	132	132
1	30	ZB	6	304	304
1	30	ZB	7	104	104
1	30	ZB	8	1560	1560
1	30	ZB	9	16	16
1	30	ZB	10	612	556
1	30	ZB	11	136	136
1	30	ZB	12	40	40
1	30	ZB	13	64	64
1	30	ZB	14	60	60
1	30	ZA	15	1712	1712
1	30	ZA	16	40	40
1	30	ZA	17	80	80
1	30	ZA	18	144	144
1	30	ZA	19	216	216
1	30	ZA	20	4	4
1	30	ZA	21	168	168
1	30	ZA	22	244	244
1	30	ZA	23	176	176
1	30	ZA	24	124	124
1	30	ZA	25	32	32
1	30	ZA	26	12	12
1	30	ZA	27	108	108
1	30	ZA	28	104	104
1	30	ZC	29	88	88
1	30	ZC	30	136	136
1	30	ZC	31	156	156
1	30	ZC	32	104	104
1	30	ZC	33	40	40
1	30	ZC	34	72	72
1	30	ZC	35	32	32
1	30	ZC	36	64	64
1	30	ZC	37	124	124
1	30	ZC	38	16	16
1	30	ZC	39	364	364
1	30	ZC	40	8	8
1	30	ZC	41	76	76
1	30	ZC	42	152	152
1	30	ZC	43	52	52
1	30	ZC	44	44	44
1	30	ZD	45	76	76
1	30	ZD	46	48	48
1	30	ZD	47	16	16
1	30	ZD	48	24	24
1	30	ZD	49	80	80
1	30	ZD	50	36	36
1	35	ZC	1	32	32
1	35	ZC	2	32	32
1	35	ZC	3	16	16
1	35	ZC	4	164	164
1	35	ZC	5	64	64
1	35	ZC	6	428	428
1	35	ZC	7	16	16
1	35	ZC	8	0	4
1	35	ZC	9	92	92
1	35	ZC	10	84	84
1	35	ZC	11	76	76
1	35	ZC	12	240	240
1	35	ZC	13	64	64
1	35	ZC	14	12	12
1	35	ZC	15	40	40
1	35	ZC	16	64	64
1	35	ZA	17	160	160
1	35	ZA	18	52	52
1	35	ZA	19	520	520
1	35	ZA	20	224	224
1	35	ZA	21	220	4
1	35	ZA	22	80	80
1	35	ZA	23	24	24
1	35	ZA	24	80	80
1	35	ZA	25	60	60
1	35	ZA	26	80	80
1	35	ZA	27	176	176
1	35	ZA	28	260	260
1	35	ZA	29	60	60
1	35	ZA	30	160	160
1	35	ZA	31	112	112
1	35	ZB	32	164	164
1	35	ZB	33	72	72
1	35	ZB	34	88	88
1	35	ZB	35	192	192
1	35	ZB	36	92	92
1	35	ZB	37	92	92
1	35	ZB	38	448	448
1	35	ZB	39	144	144
1	35	ZB	40	668	456
1	35	ZB	41	152	152
1	35	ZB	42	1720	1720
1	35	ZB	43	32	32
1	35	ZB	44	52	52
1	35	ZB	45	112	112
1	35	ZB	46	104	104
1	35	ZD	47	40	40
1	35	ZD	48	36	36
1	35	ZD	49	20	20
1	35	ZD	50	8	8
1	35	ZD	51	40	40
1	35	ZD	52	88	88
1	40	ZD	1	28	28
1	40	ZD	2	80	80
1	40	ZD	3	8	8
1	40	ZD	4	16	16
1	40	ZD	5	32	32
1	40	ZD	6	40	40
1	40	ZC	7	20	20
1	40	ZC	8	48	48
1	40	ZC	9	24	24
1	40	ZC	10	124	124
1	40	ZC	11	96	96
1	40	ZC	12	88	88
1	40	ZC	13	88	88
1	40	ZC	14	204	204
1	40	ZC	15	96	96
1	40	ZC	16	116	116
1	40	ZC	17	464	464
1	40	ZC	18	0	4
1	40	ZC	19	108	108
1	40	ZC	20	148	148
1	40	ZC	21	112	112
1	40	ZC	22	92	92
1	40	ZB	23	124	124
1	40	ZB	24	320	320
1	40	ZB	25	56	56
1	40	ZB	26	40	40
1	40	ZB	27	76	76
1	40	ZB	28	128	128
1	40	ZB	29	964	964
1	40	ZB	30	1084	1084
1	40	ZB	31	184	184
1	40	ZB	32	760	760
1	40	ZB	33	60	60
1	40	ZB	34	40	40
1	40	ZB	35	1084	1084
1	40	ZB	36	180	180
1	40	ZB	37	820	820
1	40	ZA	38	92	92
1	40	ZA	39	40	40
1	40	ZA	40	16	16
1	40	ZA	41	12	12
1	40	ZA	42	1064	1064
1	40	ZA	43	96	96
1	40	ZA	44	1444	1444
