run	time	UA	SProd_ha	S_CC_ha_an	S_PC_ha_an	vol
1	25	8666	330000	2160	320	224320
1	25	8751	378000	0	320	18160
1	25	8762	329600	1440	240	168120
1	25	8763	306400	0	160	9800
1	25	8764	381600	0	160	4240
1	25	91	241200	3040	480	NA
1	25	9351	1529200	16640	1520	1536560
1	25	9352	742800	5520	560	591120
1	25	9471	1474400	18160	1760	1551200
1	25	9551	156800	1920	160	122960
1	25	9751	1051200	10160	1440	915400
1	30	11	764400	5680	4000	1049360
1	30	111	321200	3120	1440	530960
1	30	11161	496800	6160	1200	895600
1	30	11262	330400	4080	880	603640
1	30	11263	315200	4160	720	603200
1	30	1171	306800	1200	1760	286000
1	30	121	467200	3760	2400	679760
1	30	122	486800	3440	2400	619760
1	30	1272	620400	5760	1440	894880
1	30	141	202800	1200	1680	283400
1	30	151	463200	2080	4640	607600
1	30	161	337600	2160	2640	482280
1	30	171	354400	3280	1360	530120
1	30	21	156000	1680	640	264160
1	30	22	175200	1920	560	293040
1	30	2371	1177200	12240	2160	1664880
1	30	2471	1479600	14080	1440	1706720
1	30	2571	2405600	26560	3120	3179400
1	30	2651	162800	1040	80	120440
1	30	2661	388000	1280	320	148480
1	30	2662	212000	2080	80	240240
1	30	2663	142000	1920	240	213200
1	30	2664	374000	3280	320	377080
1	30	2665	296000	800	160	99560
1	30	2666	189600	0	160	9800
1	30	2751	970000	3520	1040	448280
1	30	3153	114400	1520	80	212000
1	30	3171	224800	2240	1120	368040
1	30	3351	300800	3840	560	525400
1	30	3451	13600	80	80	16680
1	30	3551	111600	720	560	117760
1	30	41	225200	1360	1680	301240
1	30	4151	444800	4240	2880	748080
1	30	4251	841600	8560	2720	1252640
1	30	4351	918000	9040	1280	1172920
1	30	4352	592000	5760	2320	916040
1	30	51	724400	4880	5280	1025200
1	30	5151	36800	320	320	65600
1	30	6151	54800	240	720	83400
1	30	6271	430400	4240	2560	732560
1	30	6452	130000	560	1760	199840
1	30	6471	956400	5440	7680	1277200
1	30	71	511600	3280	4320	722000
1	30	7151	232400	960	2400	299680
1	30	7152	474400	3040	4080	689560
1	30	7251	116400	400	1440	155360
1	30	7351	360400	1840	3920	526760
1	30	7352	318800	3040	1840	521000
1	30	7451	751200	6640	3760	1128880
1	30	81	106000	1040	400	171400
1	30	8151	301600	1840	3120	458600
1	30	8152	562400	4880	2720	850080
1	30	82	459200	3600	480	491800
1	30	8251	460000	3200	720	443320
1	30	8351	877200	8880	1920	1250880
1	30	8451	615200	5840	800	716280
1	30	8462	210800	1120	240	152480
1	30	8551	634000	1840	560	235080
1	30	8562	40400	0	0	NA
1	30	8651	333200	1200	480	155760
1	30	8652	269200	0	160	10640
1	30	8663	184000	2080	240	235840
1	30	8664	176400	1920	80	220960
1	30	8665	234000	2400	160	269120
1	30	8666	330000	2080	480	250400
1	30	8751	378000	0	400	22200
1	30	8762	329600	240	160	37560
1	30	8763	306400	0	160	9800
1	30	8764	381600	0	400	20640
1	30	91	241200	3040	480	427480
1	30	9351	1529200	16720	1680	2048480
1	30	9352	742800	5520	560	640320
1	30	9471	1474400	18080	1600	2134240
1	30	9551	156800	1920	240	242640
1	30	9751	1051200	10160	1760	1322000
1	35	11	764400	6400	3920	1144080
1	35	111	321200	3280	1440	535840
1	35	11161	496800	6480	960	924760
1	35	11262	330400	4080	880	586320
1	35	11263	315200	4080	720	587680
1	35	1171	306800	2240	1680	421720
1	35	121	467200	3760	2400	657920
1	35	122	486800	4080	2160	675480
1	35	1272	620400	5760	1520	892040
1	35	141	202800	1200	1520	271880
1	35	151	463200	2080	4720	615400
1	35	161	337600	2160	2560	477840
1	35	171	354400	3200	1360	518680
1	35	21	156000	1680	640	270160
1	35	22	175200	1600	480	236600
1	35	2371	1177200	12240	2000	1661080
1	35	2471	1479600	14160	1120	1703080
1	35	2571	2405600	23280	3200	2769320
1	35	2651	162800	960	80	105440
1	35	2661	388000	1440	240	165560
1	35	2662	212000	2240	160	254600
1	35	2663	142000	1920	160	226200
1	35	2664	374000	2960	400	362280
1	35	2665	296000	560	240	77720
1	35	2666	189600	0	160	9800
1	35	2751	970000	8240	880	970040
1	35	3153	114400	1360	80	194360
1	35	3171	224800	2160	960	348240
1	35	3351	300800	3840	720	505920
1	35	3451	13600	80	80	16680
1	35	3551	111600	720	480	126240
1	35	41	225200	1360	1840	315240
1	35	4151	444800	4160	2320	720360
