run	time	domain	spp	0-20	20-40	40-60	60-80	80-100	>100	Tot
1	70	3	NonFor	72	116	100	2768	4236	0	7292
1	70	3	other	5312	4508	4588	3236	2004	6248	25896
1	70	3	PET	2424	3172	3372	852	360	1696	11876
1	70	3	SAB	48	260	648	564	600	1616	3736
1	70	2	BOJ	192	664	1352	948	1352	3776	8284
1	70	2	EPN	4284	4576	4132	4932	3048	4456	25428
1	70	2	ERS	2880	2224	3360	2656	1824	8592	21536
1	70	2	NonFor	844	760	580	6300	9192	164	17840
1	70	2	other	12404	10640	10640	7740	4804	9632	55860
1	70	2	PET	18828	19072	14696	4688	1140	1884	60308
1	70	2	SAB	1560	4148	3980	3568	2672	6796	22724
1	70	1	BOJ	16	24	28	12	28	28	136
1	70	1	EPN	10248	10624	12756	13076	7400	17116	71220
1	70	1	ERS	12	0	0	0	0	0	12
1	70	1	NonFor	1876	2536	2256	14420	20440	952	42480
1	70	1	other	5508	3076	3444	3604	2064	2732	20428
1	70	1	PET	19220	13248	11040	4928	348	628	49412
1	70	1	SAB	2928	3732	2936	3856	1884	9964	25300
1	75	3	BOJ	52	36	128	232	260	1740	2448
1	75	3	EPN	128	88	124	80	88	212	720
1	75	3	ERS	1432	1472	1992	2216	2608	20260	29980
1	75	3	NonFor	80	96	120	1380	5112	504	7292
1	75	3	other	5428	4624	4772	3276	1996	6280	26376
1	75	3	PET	2188	2964	3448	980	344	1564	11488
1	75	3	SAB	44	228	500	536	480	1648	3436
1	75	2	BOJ	136	532	1208	820	1292	3648	7636
1	75	2	EPN	4012	4464	4372	3936	2948	4644	24376
1	75	2	ERS	2656	2448	3604	3444	2188	8880	23220
1	75	2	NonFor	852	680	680	3580	10752	1296	17840
1	75	2	other	12464	10912	11000	7876	4984	10080	57316
1	75	2	PET	17224	19592	15420	5068	1148	1960	60412
1	75	2	SAB	1024	3772	4128	2912	2368	6976	21180
1	75	1	BOJ	4	20	32	24	16	40	136
1	75	1	EPN	11552	9804	10436	12496	7200	16504	67992
1	75	1	ERS	20	0	12	0	0	4	36
1	75	1	NonFor	2132	2140	1756	8408	24492	3552	42480
1	75	1	other	6452	3308	3496	3792	2276	2852	22176
1	75	1	PET	21072	13156	10696	5616	320	652	51512
1	75	1	SAB	2948	3580	2752	3580	1948	9848	24656
1	80	3	BOJ	68	32	100	136	304	1720	2360
1	80	3	EPN	136	96	132	56	76	224	720
1	80	3	ERS	1448	1400	2032	2188	2644	20756	30468
1	80	3	NonFor	60	64	156	80	5548	1384	7292
1	80	3	other	5544	4784	4880	3456	1988	6228	26880
1	80	3	PET	1680	2904	3612	1088	264	1376	10924
1	80	3	SAB	28	200	452	408	356	1652	3096
1	80	2	BOJ	124	320	1084	836	1164	3696	7224
1	80	2	EPN	3684	4080	4208	3728	2728	4836	23264
1	80	2	ERS	2432	2668	3756	4224	2364	9248	24692
1	80	2	NonFor	524	912	720	704	11780	3200	17840
1	80	2	other	12612	11576	10888	8516	4800	10456	58848
1	80	2	PET	15608	19252	16504	5916	1216	1888	60384
1	80	2	SAB	816	2932	4172	2608	2112	7088	19728
1	80	1	BOJ	4	16	36	16	24	40	136
1	80	1	EPN	12216	8960	9308	11352	6844	16348	65028
1	80	1	ERS	20	0	12	8	0	4	44
1	80	1	NonFor	2316	1720	2404	2040	25980	8016	42476
1	80	1	other	7164	3828	3408	4248	2560	2996	24204
1	80	1	PET	21832	14136	9920	6852	356	708	53804
1	80	1	SAB	2568	3480	2668	3064	1892	9624	23296
1	85	3	BOJ	68	36	76	108	280	1740	2308
1	85	3	EPN	108	112	132	68	52	232	704
1	85	3	ERS	1508	1420	1992	2188	2448	21236	30792
1	85	3	NonFor	36	72	152	56	4128	2848	7292
1	85	3	other	5596	5056	4880	3688	1964	6196	27380
1	85	3	PET	1392	2908	3432	1116	368	1252	10468
1	85	3	SAB	20	64	396	436	312	1568	2796
1	85	2	BOJ	136	228	908	828	952	3744	6796
1	85	2	EPN	3940	4208	3868	3232	2208	4776	22232
1	85	2	ERS	2500	2668	4144	4852	2500	9784	26448
1	85	2	NonFor	972	768	712	812	8624	5952	17840
1	85	2	other	14220	11488	11680	8640	4272	10788	61088
1	85	2	PET	15728	18176	16508	5756	1492	1888	59548
1	85	2	SAB	856	1984	4092	2448	1688	6960	18028
1	85	1	BOJ	0	16	32	20	20	48	136
1	85	1	EPN	12556	8288	8532	10328	6428	16372	62504
1	85	1	ERS	20	12	4	20	0	4	60
1	85	1	NonFor	2468	1672	2380	2120	19724	14112	42476
1	85	1	other	7840	4352	3708	4780	2192	3288	26160
1	85	1	PET	21196	15372	10564	6684	1024	752	55592
1	85	1	SAB	2388	3036	2768	2740	1832	9296	22060
1	90	3	BOJ	52	48	44	96	240	1748	2228
1	90	3	EPN	112	124	96	96	44	232	704
1	90	3	ERS	1672	1340	2000	2360	2192	21512	31076
1	90	3	NonFor	40	68	116	96	2752	4220	7292
1	90	3	other	6072	5180	4840	3860	2072	6024	28048
1	90	3	PET	1460	2368	3112	1268	504	1156	9868
1	90	3	SAB	48	48	252	428	268	1480	2524
1	90	2	BOJ	140	188	644	828	800	3816	6416
1	90	2	EPN	4512	3828	3904	2604	2212	4792	21852
1	90	2	ERS	2620	2792	3936	5520	2824	10180	27872
1	90	2	NonFor	1088	768	676	532	5980	8796	17840
1	90	2	other	15712	11928	12036	8940	4264	11144	64024
1	90	2	PET	13632	17164	17132	5552	1836	1856	57172
1	90	2	SAB	772	1472	3768	2480	1400	6912	16804
1	90	1	BOJ	0	16	24	28	12	48	128
1	90	1	EPN	11996	8748	8752	9268	5712	15948	60424
1	90	1	ERS	36	12	12	32	0	12	104
1	90	1	NonFor	2544	1776	2364	2100	13528	20164	42476
1	90	1	other	8336	5232	3964	5112	2104	3624	28372
1	90	1	PET	19592	16628	11620	6348	1780	768	56736
1	90	1	SAB	1972	2620	3232	2244	1748	8932	20748
