run	time	UA	tot.inc	even.age	sup.mat	s.inc.burnt	s.inc.mat.burnt	s.inc.kill	s.inc.mat.kill	cc.area.unaff	cc.area.salvaged	harv.cc.EPN	harv.cc.BOJ	harv.cc.PET	harv.cc.SAB	harv.cc.ERS	harv.cc.other	reg.fail.ex	reg.fail.inc
1	20	171	3544	2900	1096	0	0	0	0	168	0	4	0	8	32	4	120	0	0
1	20	21	1560	1312	344	0	0	0	0	84	0	0	0	44	12	0	28	0	0
1	20	22	1752	1640	472	0	0	0	0	96	0	20	0	40	20	0	16	0	0
1	20	2371	11772	11004	4308	84	4	0	0	612	4	184	0	52	288	0	88	0	32
1	20	2471	14796	13948	5208	1204	320	0	0	620	156	540	0	0	220	0	16	56	412
1	20	2571	24056	22808	6880	772	256	0	0	1100	276	1044	0	64	144	0	124	24	340
1	20	2651	1628	1548	804	0	0	0	0	88	0	64	0	0	8	0	16	0	0
1	20	2661	3880	3684	992	148	68	0	0	100	24	104	0	0	4	0	16	8	60
1	20	2662	2120	2028	652	0	0	0	0	108	0	104	0	0	4	0	0	0	0
1	20	2663	1420	1352	524	0	0	0	0	92	0	84	0	0	0	0	8	0	0
1	20	2664	3740	3552	1128	0	0	0	0	160	0	140	0	0	8	0	12	0	0
1	20	2665	2960	2828	828	0	0	0	0	64	0	52	0	0	0	0	12	0	0
1	20	2666	1896	1804	604	188	56	0	0	48	12	52	0	4	0	0	4	0	96
1	20	2751	9700	9132	2720	812	456	0	0	352	88	324	0	4	96	0	16	52	180
1	20	3153	1144	1080	156	0	0	0	0	68	0	8	0	0	48	0	12	0	0
1	20	3171	2248	1592	464	0	0	0	0	112	0	28	0	12	40	4	28	0	0
1	20	3351	3008	2660	676	8	4	0	0	180	4	68	4	32	44	0	32	4	0
1	20	3451	136	88	36	0	0	0	0	4	0	0	0	0	0	0	4	0	0
1	20	3551	1116	824	188	0	0	0	0	32	0	12	0	4	4	0	12	0	0
1	20	41	2252	1320	516	0	0	0	0	68	0	0	0	0	12	4	52	0	0
1	20	4151	4448	2940	1176	52	12	0	0	200	12	4	0	56	64	4	84	0	12
1	20	4251	8416	7108	2176	8	4	0	0	416	4	112	0	44	76	4	180	0	4
1	20	4351	9180	8688	3104	944	340	0	0	408	100	220	0	32	80	0	176	28	232
1	20	4352	5920	4880	2472	332	180	0	0	248	60	20	0	88	32	0	168	0	20
1	20	51	7244	4576	1620	44	12	0	0	228	24	4	0	16	100	4	128	0	4
1	20	5151	368	228	100	0	0	0	0	16	0	0	0	0	0	0	16	0	0
1	20	6151	548	180	128	0	0	0	0	12	0	0	0	4	0	0	8	0	0
1	20	6271	4304	2860	812	0	0	0	0	216	0	12	0	56	52	0	96	0	0
1	20	6452	1300	364	192	0	0	0	0	24	0	0	0	12	0	4	8	0	0
1	20	6471	9564	5808	2808	824	324	0	0	248	60	76	4	16	56	0	156	32	228
1	20	71	5116	2868	1524	8	4	0	0	152	4	0	0	48	28	0	76	0	0
1	20	7151	2324	1116	652	0	0	0	0	60	0	0	0	28	0	8	24	0	0
1	20	7152	4744	2736	1528	96	68	0	0	120	32	0	0	44	32	4	72	0	4
1	20	7251	1164	292	196	4	0	0	0	16	0	0	0	4	4	4	4	0	0
1	20	7351	3604	1692	968	0	0	0	0	92	0	0	0	44	8	0	40	0	0
1	20	7352	3188	2284	1160	76	52	0	0	124	32	32	0	8	4	0	112	0	12
1	20	7451	7512	5912	2896	0	0	0	0	344	0	48	4	36	20	0	236	0	0
1	20	81	1060	924	324	0	0	0	0	56	0	0	0	16	12	0	28	0	0
1	20	8151	3016	1416	928	0	0	0	0	92	0	4	0	4	32	8	44	0	0
1	20	8152	5624	4084	2188	92	56	0	0	204	48	4	0	44	20	0	184	0	4
1	20	82	4592	4364	860	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1	20	8251	4600	4216	956	36	8	0	0	144	4	16	0	36	16	0	76	0	8
1	20	8351	8772	7800	2880	140	72	0	0	368	92	188	0	44	32	0	196	0	20
1	20	8451	6152	5808	1712	368	120	0	0	264	68	228	0	4	40	0	60	0	136
1	20	8462	2108	1992	528	348	100	0	0	84	20	84	0	8	0	0	12	28	156
1	20	8551	6340	5988	1532	396	152	0	0	144	36	136	0	20	4	0	20	8	164
1	20	8562	404	380	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	20	8651	3332	3152	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	20	8652	2692	2560	348	16	12	0	0	0	0	0	0	0	0	0	0	0	4
1	20	8663	1840	1756	1020	0	0	0	0	100	0	100	0	0	0	0	0	0	0
1	20	8664	1764	1664	980	0	0	0	0	92	0	84	0	0	8	0	0	0	0
